Id	Api covered	Execution time	# of failed execution	# of total execution
103	AccessibleStateSet	9	18	22
104	AccessibleText	9	6	24
105	AccessibleBundle, AccessibleAction, AccessibleExtendedText, AccessibleTableModelChange	14	2	10
106	AccessControlContext	4	21	34
107	AccessibleEditableText, AccessMode, AccessibleValue, AccessibleHyperlink, AccessibleIcon, AccessibleKeyBinding	10	6	16
108	AccessMode, AccessibleAction, AccessibleResourceBundle, AccessibleText	13	2	5
109	AccessControlContext, AccessibleExtendedTable, AccessMode, AccessibleAttributeSequence, AccessibleAction, AccessibleText	5	18	21
110	AccessibleRelation, AccessibleRelationSet, AccessibleBundle, AccessibleHypertext, AccessibleKeyBinding	14	0	4
111	AccessibleRelationSet, AccessibleTable, AccessibleTextSequence, AccessibleKeyBinding, AccessMode, AccessibleStateSet	8	0	4
112	AccessController, AccessibleStreamable	6	0	18
113	AccessibleValue, AccessibleText, AccessibleRole, AccessibleEditableText, AccessibleTable, AccessibleHyperlink	6	1	5
114	AccessibleValue, AccessibleObject, AccessibleText, AccessibleExtendedComponent	9	7	28
115	AccessControlContext	8	1	23
116	AccessibleStreamable, AccessibleStateSet, AccessibleTextSequence, AccessibleContext	7	0	6
117	AccessibleText, AccessibleStreamable	17	5	15
118	AccessMode, AccessibleTableModelChange, AccessControlContext, AccessibleState, AccessibleKeyBinding, AccessibleAttributeSequence, AccessibleTable	19	8	13
119	AccessibleRelation, AccessibleKeyBinding, AccessibleRelationSet, AccessibleAction, AccessibleBundle	18	0	3
120	AccessibleEditableText	5	2	6
121	AccessibleBundle, AccessibleSelection, AccessibleRole, AccessibleAction	12	12	36
122	AccessMode, AccessibleComponent, AccessibleAction, AccessibleSelection	18	28	30
123	AccessibleObject, AccessibleHypertext, AccessibleState, AccessibleKeyBinding, AccessibleAction, Accessible	4	29	34
124	AccessibleRole, AccessibleRelation, AccessibleState, AccessController	6	8	9
125	AccessibleStreamable, AccessibleRelation, AccessibleRelationSet, AccessibleExtendedText, AccessibleRole	9	27	28
126	AccessibleStreamable, AccessibleTextSequence, Accessible, AccessibleTableModelChange, AccessibleAttributeSequence	3	5	36
127	AccessibleComponent	11	4	6
128	AccessibleTextSequence, Accessible, AccessibleComponent, AccessibleContext, AccessibleAction, AccessibleRelationSet, AccessibleEditableText	3	0	10
129	AccessibleTableModelChange, AccessibleExtendedText, AccessibleHyperlink, AccessibleRelationSet, AccessibleHypertext	3	18	36
130	AccessibleTableModelChange, AccessibleExtendedTable, AccessibleAttributeSequence	4	2	5
131	AccessibleIcon	7	0	2
132	AccessibleExtendedComponent, AccessibleRelation	13	34	36
133	AccessController, AccessibleContext, AccessibleRelationSet	6	13	37
134	AccessibleText, AccessController, AccessibleObject, AccessibleHyperlink, AccessibleHypertext	9	18	37
135	AccessibleContext, AccessibleComponent, AccessibleStateSet, AccessibleHyperlink	17	13	34
136	AccessibleTextSequence, AccessibleEditableText, AccessibleStreamable, AccessibleExtendedTable, AccessibleContext, AccessibleResourceBundle, AccessibleIcon	10	13	22
137	AccessibleRelation, AccessibleContext, AccessibleComponent, AccessController	3	15	20
138	Accessible, AccessibleState, AccessibleIcon, AccessibleRelationSet, AccessibleAction, AccessibleSelection, AccessibleObject	5	1	16
139	AccessibleBundle, AccessibleObject, AccessibleStreamable, AccessMode, AccessibleExtendedText, AccessibleTableModelChange	12	1	6
140	AccessibleComponent, AccessibleHyperlink, AccessibleState	12	17	32
141	AccessibleExtendedText, AccessibleRelationSet, AccessControlContext, AccessibleState	3	2	3
142	AccessController, AccessibleRelation, AccessibleContext, AccessibleStreamable	14	5	20
143	Accessible, AccessibleKeyBinding, AccessibleSelection, AccessibleExtendedTable	19	7	10
144	AccessibleValue, AccessibleExtendedTable, AccessibleAttributeSequence, AccessMode, AccessibleContext	13	12	25
145	AccessibleKeyBinding, AccessibleAttributeSequence, AccessibleBundle, AccessibleExtendedText, AccessibleRelationSet, AccessibleStreamable, AccessibleContext	3	9	21
146	AccessibleHypertext, AccessibleResourceBundle, AccessibleExtendedComponent, AccessibleRelationSet, AccessibleIcon, AccessibleKeyBinding	17	24	36
147	AccessibleEditableText, AccessibleExtendedText, AccessibleTable, AccessibleRelationSet	9	1	2
148	AccessibleObject, AccessibleRelation	10	2	13
149	AccessMode, AccessibleEditableText	12	4	29
150	AccessibleStateSet, AccessibleBundle, AccessibleStreamable, AccessibleAttributeSequence, AccessController	4	8	15
